Date,Close/Last,Open,High,Low,Change ,Percentage
12/5/2022,3998.84,4052.02,4052.45,3984.49,-53.18,-1.312
12/2/2022,4071.7,4040.17,4080.48,4026.63,31.53,0.78
12/1/2022,4076.57,4087.14,4100.51,4050.87,-10.57,-0.259
11/30/2022,4080.11,3957.18,4080.11,3938.58,122.93,3.107
11/29/2022,3957.63,3964.19,3976.77,3937.65,-6.56,-0.165
11/28/2022,3963.94,4005.36,4012.27,3955.77,-41.42,-1.034
11/25/2022,4026.12,4023.34,4034.02,4020.76,2.78,0.069
11/23/2022,4027.26,4000.3,4033.78,3998.66,26.96,0.674
11/22/2022,4003.58,3965.51,4005.88,3956.88,38.07,0.96
11/21/2022,3949.94,3956.23,3962,3933.34,-6.29,-0.159
11/18/2022,3965.34,3966.39,3979.89,3935.98,-1.05,-0.026
11/17/2022,3946.56,3919.26,3954.33,3906.54,27.3,0.697
11/16/2022,3958.79,3976.82,3983.09,3954.34,-18.03,-0.453
11/15/2022,3991.73,4006.41,4028.84,3953.17,-14.68,-0.366
11/14/2022,3957.25,3977.97,4008.97,3956.4,-20.72,-0.521
11/11/2022,3992.93,3963.72,4001.48,3944.82,29.21,0.737
11/10/2022,3956.37,3859.89,3958.33,3859.89,96.48,2.5
11/9/2022,3748.57,3810.94,3818.2,3744.22,-62.37,-1.637
11/8/2022,3828.11,3817.02,3859.4,3786.28,11.09,0.291
11/7/2022,3806.8,3780.71,3813.95,3764.7,26.09,0.69
11/4/2022,3770.55,3766.98,3796.34,3708.84,3.57,0.095
11/3/2022,3719.89,3733.25,3750.59,3698.15,-13.36,-0.358
11/2/2022,3759.69,3852.9,3894.44,3758.68,-93.21,-2.419
11/1/2022,3856.1,3901.79,3911.79,3843.8,-45.69,-1.171
10/31/2022,3871.98,3881.85,3893.73,3863.18,-9.87,-0.254
10/28/2022,3901.06,3808.26,3905.42,3808.26,92.8,2.437
10/27/2022,3807.3,3834.69,3859.95,3803.79,-27.39,-0.714
10/26/2022,3830.6,3825.97,3886.15,3824.07,4.63,0.121
10/25/2022,3859.11,3799.44,3862.85,3799.44,59.67,1.57
10/24/2022,3797.34,3762.01,3810.74,3741.65,35.33,0.939
10/21/2022,3752.75,3657.1,3757.89,3647.42,95.65,2.615
10/20/2022,3665.78,3689.05,3736,3656.44,-23.27,-0.631
10/19/2022,3695.16,3703.11,3728.58,3666.51,-7.95,-0.215
10/18/2022,3719.98,3746.26,3762.79,3686.53,-26.28,-0.701
10/17/2022,3677.95,3638.65,3689.73,3638.65,39.3,1.08
10/14/2022,3583.07,3690.41,3712,3579.68,-107.34,-2.909
10/13/2022,3669.91,3520.37,3685.41,3491.58,149.54,4.248
10/12/2022,3577.03,3590.83,3608.34,3573.86,-13.8,-0.384
10/11/2022,3588.84,3595.86,3640.66,3568.45,-7.02,-0.195
10/10/2022,3612.39,3647.51,3652.17,3588.1,-35.12,-0.963
10/7/2022,3639.66,3706.74,3706.74,3620.73,-67.08,-1.81
10/6/2022,3744.52,3771.97,3797.93,3739.22,-27.45,-0.728
10/5/2022,3783.28,3753.25,3806.91,3722.66,30.03,0.8
10/4/2022,3790.93,3726.46,3791.92,3726.46,64.47,1.73
10/3/2022,3678.43,3609.78,3698.35,3604.93,68.65,1.902
09/30/2022,3585.62,3633.48,3671.44,3584.13,-47.86,-1.317
09/29/2022,3640.47,3687.01,3687.01,3610.4,-46.54,-1.262
09/28/2022,3719.04,3651.94,3736.74,3640.61,67.1,1.837
09/27/2022,3647.29,3686.44,3717.53,3623.29,-39.15,-1.062
09/26/2022,3655.04,3682.72,3715.67,3644.76,-27.68,-0.752
09/23/2022,3693.23,3727.14,3727.14,3647.47,-33.91,-0.91
09/22/2022,3757.99,3782.36,3790.9,3749.45,-24.37,-0.644
09/21/2022,3789.93,3871.4,3907.07,3789.49,-81.47,-2.104
09/20/2022,3855.93,3875.23,3876.01,3827.54,-19.3,-0.498
09/19/2022,3899.89,3849.91,3900.45,3838.5,49.98,1.298
09/16/2022,3873.33,3880.95,3880.95,3837.08,-7.62,-0.196
09/15/2022,3901.35,3932.41,3959.14,3888.28,-31.06,-0.79
09/14/2022,3946.01,3940.73,3961.94,3912.18,5.28,0.134
09/13/2022,3932.69,4037.12,4037.12,3921.28,-104.43,-2.587
9/12/2022,4110.41,4083.67,4119.28,4083.67,26.74,0.655
9/9/2022,4067.36,4022.94,4076.81,4022.94,44.42,1.104
9/8/2022,4006.18,3959.94,4010.5,3944.81,46.24,1.168
9/7/2022,3979.87,3909.43,3987.89,3906.03,70.44,1.802
9/6/2022,3908.19,3930.89,3942.55,3886.75,-22.7,-0.577
9/2/2022,3924.26,3994.66,4018.43,3906.21,-70.4,-1.762
9/1/2022,3966.85,3936.73,3970.23,3903.65,30.12,0.765
08/31/2022,3955,4000.67,4015.37,3954.53,-45.67,-1.142
08/30/2022,3986.16,4041.25,4044.98,3965.21,-55.09,-1.363
08/29/2022,4030.61,4034.58,4062.99,4017.42,-3.97,-0.098
08/26/2022,4057.66,4198.74,4203.04,4057.66,-141.08,-3.36
08/25/2022,4199.12,4153.26,4200.54,4147.59,45.86,1.104
08/24/2022,4140.77,4126.55,4156.56,4119.97,14.22,0.345
08/23/2022,4128.73,4133.09,4159.77,4124.03,-4.36,-0.105
08/22/2022,4137.99,4195.08,4195.08,4129.86,-57.09,-1.361
08/19/2022,4228.48,4266.31,4266.31,4218.7,-37.83,-0.887
08/18/2022,4283.74,4273.13,4292.53,4261.98,10.61,0.248
08/17/2022,4274.04,4280.4,4302.18,4253.08,-6.36,-0.149
08/16/2022,4305.2,4290.46,4325.28,4277.77,14.74,0.344
08/15/2022,4297.14,4269.37,4301.79,4256.9,27.77,0.65
8/12/2022,4280.15,4225.02,4280.47,4219.78,55.13,1.305
8/11/2022,4207.27,4227.4,4257.91,4201.41,-20.13,-0.476
8/10/2022,4210.24,4181.02,4211.03,4177.26,29.22,0.699
8/9/2022,4122.47,4133.11,4137.3,4112.09,-10.64,-0.257
8/8/2022,4140.06,4155.93,4186.62,4128.97,-15.87,-0.382
8/5/2022,4145.19,4115.87,4151.58,4107.31,29.32,0.712
8/4/2022,4151.94,4154.85,4161.29,4135.42,-2.91,-0.07
8/3/2022,4155.17,4107.96,4167.66,4107.96,47.21,1.149
8/2/2022,4091.19,4104.21,4140.47,4079.81,-13.02,-0.317
8/1/2022,4118.63,4112.38,4144.95,4096.02,6.25,0.152
07/29/2022,4130.29,4087.33,4140.15,4079.22,42.96,1.051
07/28/2022,4072.43,4026.13,4078.95,3992.97,46.3,1.15
07/27/2022,4023.61,3951.43,4039.56,3951.43,72.18,1.827
07/26/2022,3921.05,3953.22,3953.22,3910.74,-32.17,-0.814
07/25/2022,3966.84,3965.72,3975.3,3943.46,1.12,0.028
07/22/2022,3961.63,3998.43,4012.44,3938.86,-36.8,-0.92
07/21/2022,3998.95,3955.47,3999.29,3927.64,43.48,1.099
07/20/2022,3959.9,3935.32,3974.13,3922.03,24.58,0.625
07/19/2022,3936.69,3860.73,3939.81,3860.73,75.96,1.968
07/18/2022,3830.85,3883.79,3902.44,3818.63,-52.94,-1.363
07/15/2022,3863.16,3818,3863.62,3817.18,45.16,1.183
07/14/2022,3790.38,3763.99,3796.41,3721.56,26.39,0.701
07/13/2022,3801.78,3779.67,3829.44,3759.07,22.11,0.585
7/12/2022,3818.8,3851.95,3873.41,3802.36,-33.15,-0.861
7/11/2022,3854.43,3880.94,3880.94,3847.22,-26.51,-0.683
7/8/2022,3899.38,3888.26,3918.5,3869.34,11.12,0.286
7/7/2022,3902.62,3858.85,3910.63,3858.85,43.77,1.134
